location,rainfall_mm,flood_risk
Queenstown,36.33,0.0125
Queenstown,36.36,0.0126
Queenstown,48.4,0.0407
Queenstown,39.85,0.0177
Queenstown,12.82,0.0012
Queenstown,20.69,0.0026
Queenstown,101.95,0.8998
Queenstown,3.47,0.0005
Queenstown,16.93,0.0018
Queenstown,52.57,0.0605
Queenstown,13.55,0.0013
Queenstown,40.6,0.0191
Queenstown,25.89,0.0044
Queenstown,14.39,0.0014
Queenstown,2.72,0.0004
Queenstown,28.79,0.0059
Queenstown,12.58,0.0012
Queenstown,22.84,0.0033
Queenstown,36.11,0.0123
Queenstown,45.79,0.0317
Queenstown,16.88,0.0018
Queenstown,14.36,0.0014
Queenstown,7.67,0.0007
Queenstown,47.32,0.0367
Queenstown,92.73,0.7812
Queenstown,50.8,0.0512
Queenstown,58.43,0.1037
Queenstown,13.65,0.0013
Queenstown,34.62,0.0106
Queenstown,43.2,0.0246
Queenstown,9.95,0.0009
Queenstown,71.81,0.3059
Queenstown,6.27,0.0006
Queenstown,64.58,0.1763
Queenstown,6.23,0.0006
Queenstown,10.4,0.0009
Queenstown,35.06,0.0111
Queenstown,26.38,0.0047
Queenstown,18.26,0.0021
Queenstown,70.01,0.2691
Queenstown,7.87,0.0007
Queenstown,22.17,0.0031
Queenstown,38.21,0.0151
Queenstown,30.85,0.0073
Queenstown,14.78,0.0015
Queenstown,15.24,0.0015
Queenstown,45.33,0.0303
Queenstown,46.78,0.0348
Queenstown,31.44,0.0077
Queenstown,12.14,0.0011
Queenstown,15.65,0.0016
Queenstown,24.6,0.0039
Queenstown,27.34,0.0051
Tampines,37.16,0.0136
Tampines,21.29,0.0028
Tampines,44.63,0.0283
Tampines,44.29,0.0274
Tampines,59.76,0.1167
Tampines,25.41,0.0042
Tampines,31.82,0.008
Tampines,22.56,0.0032
Tampines,12.27,0.0011
Tampines,91.35,0.7568
Tampines,54.8,0.0745
Tampines,43.68,0.0258
Tampines,24.76,0.004
Tampines,11.34,0.001
Tampines,49.04,0.0433
Tampines,22.26,0.0031
Tampines,33.88,0.0098
Tampines,15.6,0.0016
Tampines,30.05,0.0067
Tampines,16.41,0.0017
Tampines,16.94,0.0018
Tampines,29.77,0.0065
Tampines,6.14,0.0006
Tampines,6.45,0.0006
Tampines,13.51,0.0013
Tampines,21.09,0.0028
Tampines,45.56,0.0309
Tampines,22.03,0.003
Tampines,24.64,0.0039
Tampines,19.82,0.0024
Tampines,31.78,0.008
Tampines,12.16,0.0011
Tampines,22.95,0.0033
Tampines,33.61,0.0096
Tampines,29.6,0.0064
Tampines,25.24,0.0042
Tampines,25.48,0.0043
Tampines,35.94,0.0121
Tampines,94.17,0.8049
Tampines,12.89,0.0012
Tampines,95.9,0.8306
Tampines,12.39,0.0012
Tampines,2.3,0.0004
Tampines,16.14,0.0017
Tampines,32.22,0.0083
Tampines,81.77,0.5442
Tampines,11.33,0.001
Tampines,35.79,0.0119
Tampines,7.16,0.0007
Tampines,79.88,0.497
Tampines,55.5,0.0794
Tampines,16.97,0.0018
Tampines,61.45,0.1353
Tampines,22.85,0.0033
Tampines,57.45,0.0949
Tampines,25.1,0.0041
Tampines,25.92,0.0045
Tampines,17.26,0.0019
Tampines,39.11,0.0165
Tampines,27.4,0.0052
Tampines,36.34,0.0125
Tampines,5.51,0.0006
Tampines,58.8,0.1072
Tampines,68.67,0.2437
Tampines,27.31,0.0051
Tampines,89.91,0.7292
Tampines,76.73,0.4189
Tampines,39.7,0.0175
Tampines,61.97,0.1415
Tampines,51.61,0.0552
Tampines,4.07,0.0005
Tampines,20.14,0.0025
Tampines,41.63,0.0211
Tampines,71.66,0.3028
Tampines,6.67,0.0007
Tampines,4.39,0.0005
Tampines,23.94,0.0037
Tampines,2.53,0.0004
Tampines,23.31,0.0034
Tampines,32.79,0.0088
Tampines,10.86,0.001
Tampines,23.81,0.0036
Tampines,48.43,0.0408
Tampines,16.07,0.0017
Tampines,12.57,0.0012
Tampines,22.98,0.0033
Tampines,9.83,0.0009
Tampines,85.61,0.6367
Tampines,25.69,0.0044
Tampines,13.75,0.0013
Jurong West,29.38,0.0063
Jurong West,22.89,0.0033
Jurong West,20.96,0.0027
Jurong West,16.07,0.0017
Jurong West,15.43,0.0016
Jurong West,5.64,0.0006
Jurong West,61.91,0.1408
Jurong West,37.91,0.0146
Jurong West,31.52,0.0078
Jurong West,22.6,0.0032
Jurong West,10.69,0.001
Jurong West,13.03,0.0012
Jurong West,6.33,0.0006
Jurong West,14.45,0.0014
Jurong West,9.36,0.0009
Jurong West,73.97,0.3537
Jurong West,46.25,0.0331
Jurong West,26.53,0.0047
Jurong West,11.76,0.0011
Jurong West,9.81,0.0009
Jurong West,21.49,0.0029
Jurong West,47.57,0.0376
Jurong West,6.52,0.0006
Jurong West,37.56,0.0142
Jurong West,14.4,0.0014
Jurong West,16.7,0.0018
Jurong West,25.95,0.0045
Jurong West,12.11,0.0011
Jurong West,20.65,0.0026
Jurong West,11.22,0.001
Jurong West,15.41,0.0016
Jurong West,42.67,0.0234
Jurong West,26.97,0.005
Jurong West,42.56,0.0231
Jurong West,14.24,0.0014
Jurong West,37.76,0.0144
Jurong West,4.87,0.0005
Jurong West,25.94,0.0045
Jurong West,39.52,0.0172
Jurong West,4.65,0.0005
Jurong West,14.38,0.0014
Jurong West,25.93,0.0045
Jurong West,49.99,0.0474
Jurong West,15.41,0.0016
Jurong West,36.73,0.013
Jurong West,64.6,0.1765
Jurong West,37.92,0.0147
Jurong West,21.27,0.0028
Jurong West,32.9,0.0089
Jurong West,15.03,0.0015
Jurong West,26.71,0.0048
Jurong West,22.1,0.0031
Jurong West,32.12,0.0083
Jurong West,17.84,0.002
Jurong West,33.44,0.0094
Jurong West,17.7,0.002
Jurong West,45.95,0.0321
Jurong West,19.2,0.0023
Jurong West,2.66,0.0004
Jurong West,10.12,0.0009
Jurong West,25.36,0.0042
Jurong West,73.54,0.344
Jurong West,44.75,0.0286
Jurong West,1.98,0.0004
Jurong West,5.91,0.0006
Jurong West,54.33,0.0713
Jurong West,39.36,0.0169
Jurong West,99.79,0.8786
Jurong West,17.12,0.0019
Jurong West,11.89,0.0011
Jurong West,26.41,0.0047
Jurong West,16.84,0.0018
Jurong West,50.95,0.0519
Jurong West,16.37,0.0017
Jurong West,20.13,0.0025
Jurong West,10.43,0.001
Jurong West,42.71,0.0235
Jurong West,11.06,0.001
Jurong West,33.89,0.0098
Jurong West,81.8,0.5449
Jurong West,3.95,0.0005
Jurong West,66.6,0.2075
Jurong West,30.82,0.0073
Jurong West,8.93,0.0008
Jurong West,27.18,0.0051
Jurong West,41.85,0.0216
Jurong West,12.6,0.0012
Jurong West,35.29,0.0113
Jurong West,70.28,0.2745
Jurong West,16.35,0.0017
Bedok,10.32,0.0009
Bedok,22.64,0.0032
Bedok,26.09,0.0045
Bedok,52.74,0.0615
Bedok,22.06,0.003
Bedok,17.61,0.0019
Bedok,10.08,0.0009
Bedok,4.7,0.0005
Bedok,7.42,0.0007
Bedok,7.37,0.0007
Bedok,20.3,0.0025
Bedok,5.73,0.0006
Bedok,23.96,0.0037
Bedok,80.62,0.5154
Bedok,53.78,0.0677
Bedok,20.15,0.0025
Bedok,115.28,0.9715
Bedok,26.16,0.0046
Bedok,29.04,0.0061
Bedok,22.31,0.0031
Bedok,24.37,0.0038
Bedok,15.88,0.0016
Bedok,20.38,0.0026
Bedok,66.9,0.2125
Bedok,57.73,0.0973
Bedok,2.51,0.0004
Bedok,6.45,0.0006
Bedok,12.76,0.0012
Bedok,47.85,0.0386
Bedok,58.59,0.1052
Bedok,41.74,0.0213
Bedok,8.89,0.0008
Bedok,16.16,0.0017
Bedok,35.72,0.0118
Bedok,20.63,0.0026
Bedok,18.42,0.0021
Bedok,18.64,0.0022
Bedok,54.84,0.0748
Bedok,38.33,0.0153
Bedok,19.47,0.0023
Bedok,31.86,0.0081
Bedok,7.76,0.0007
Bedok,16.18,0.0017
Bedok,51.31,0.0537
Bedok,5.35,0.0006
Bedok,38.67,0.0158
Bedok,2.47,0.0004
Bedok,74.34,0.3622
Bedok,15.86,0.0016
Bedok,33.55,0.0095
Bedok,27.28,0.0051
Bedok,28.02,0.0055
Bedok,31.45,0.0077
Bedok,4.35,0.0005
Bedok,28.46,0.0057
Bedok,21.6,0.0029
Bedok,15.94,0.0016
Bedok,12.75,0.0012
Bedok,28.99,0.0061
Bedok,10.44,0.001
Bedok,50.69,0.0507
Bedok,35.31,0.0113
Bedok,30.29,0.0069
Bedok,49.27,0.0442
Bedok,3.61,0.0005
Bedok,7.51,0.0007
Bedok,36.42,0.0126
Bedok,13.42,0.0013
Bedok,14.93,0.0015
Bedok,6.46,0.0006
Bedok,10.46,0.001
Bedok,51.46,0.0545
Bedok,35.82,0.0119
Bedok,28.75,0.0059
Bedok,15.43,0.0016
Bedok,27.44,0.0052
Bedok,54.51,0.0725
Bedok,13.71,0.0013
Bedok,24.33,0.0038
Bedok,77.36,0.4344
Bedok,41.36,0.0206
Bedok,15.61,0.0016
Bedok,39.08,0.0164
Bedok,5.25,0.0006
Bedok,23.59,0.0035
Bedok,39.05,0.0164
Bedok,33.11,0.0091
Bedok,38.79,0.016
Bedok,44.88,0.029
Bedok,34.99,0.011
Bukit Timah,34.28,0.1021
Bukit Timah,29.24,0.0623
Bukit Timah,9.37,0.0093
Bukit Timah,51.44,0.5443
Bukit Timah,24.24,0.0383
Bukit Timah,40.66,0.1924
Bukit Timah,47.93,0.3892
Bukit Timah,16.28,0.0173
Bukit Timah,17.49,0.0192
Bukit Timah,19.48,0.0231
Bukit Timah,58.05,0.1002
Bukit Timah,11.37,0.001
Bukit Timah,64.79,0.1794
Bukit Timah,29,0.0061
Bukit Timah,30.54,0.0071
Bukit Timah,46.49,0.0339
Bukit Timah,26.63,0.0482
Bukit Timah,51.83,0.5643
Bukit Timah,16.26,0.0173
Bukit Timah,63.43,0.1601
Bukit Timah,17.33,0.0192
Bukit Timah,65.03,0.5728
Bukit Timah,17.71,0.0233
Bukit Timah,19.93,0.0254
Bukit Timah,10.16,0.0093
Bukit Timah,12.88,0.0124
Bukit Timah,24.33,0.0383
Bukit Timah,29.82,0.0664
Bukit Timah,49.32,0.4443
Bukit Timah,21.08,0.0284
Bukit Timah,33.16,0.0923
Bukit Timah,28.36,0.0574
Bukit Timah,35.8,0.1192
Bukit Timah,14.57,0.0143
Bukit Timah,16.06,0.0172
Bukit Timah,14.58,0.0143
Bukit Timah,55.82,0.8182
Bukit Timah,63.83,0.1656
Bukit Timah,15.5,0.0163
Bukit Timah,15.76,0.0163
Bukit Timah,39.37,0.1692
Bukit Timah,68.54,0.2411
Bukit Timah,78.4,0.46
Bukit Timah,14.91,0.0153
Bukit Timah,18.22,0.0214
Bukit Timah,30.95,0.0743
Bukit Timah,32.05,0.0824
Bukit Timah,21.73,0.0293
Bukit Timah,12.51,0.0124
Bukit Timah,24.36,0.0383
Bukit Timah,78.34,0.6586
Bukit Timah,16.26,0.0174
Bukit Timah,29.59,0.0643
Bukit Timah,112.8,0.9638
Bukit Timah,16.06,0.0174
Bukit Timah,40.67,0.1923
Bukit Timah,80.52,0.5131
Bukit Timah,38.27,0.1523
Bukit Timah,53.2,0.6424
Bukit Timah,44.49,0.2793
Bukit Timah,36.17,0.1234
Bukit Timah,62.45,0.1475
Bukit Timah,39.78,0.0176
Bukit Timah,21.9,0.0334
Bukit Timah,27.95,0.0556
Bukit Timah,32.84,0.0896
Bukit Timah,18.13,0.0211
Bukit Timah,28.89,0.0064
Bukit Timah,25.91,0.0454
Bukit Timah,39.7,0.1754
Bukit Timah,94.65,0.8122
Bukit Timah,30.15,0.0684
Bukit Timah,69.68,0.2627
Bukit Timah,38.72,0.1597
Bukit Timah,28.79,0.0596
Bukit Timah,17.31,0.0195
Bukit Timah,28.95,0.0676
Bukit Timah,27.66,0.0533
Bukit Timah,13.75,0.0132
Bukit Timah,15.66,0.0161
Bukit Timah,33.04,0.0091
Bukit Timah,69.22,0.2539
Bukit Timah,23.75,0.0362
Bukit Timah,6.14,0.0061
Bukit Timah,9.98,0.0091
Bukit Timah,41.38,0.2062
Bukit Timah,7.5,0.075
Bukit Timah,45.99,0.3234
Bukit Timah,39.82,0.1774
Bukit Timah,23.13,0.0343
Clementi,13.85,0.0013
Clementi,20.61,0.0026
Clementi,32.46,0.0085
Clementi,7.75,0.0007
Clementi,64.68,0.1776
Clementi,32.24,0.0084
Clementi,34.93,0.0109
Clementi,39.63,0.0173
Clementi,60.58,0.1255
Clementi,29,0.0061
Clementi,41.4,0.0206
Clementi,14.06,0.0014
Clementi,78.61,0.4652
Clementi,27.56,0.0053
Clementi,13.99,0.0014
Clementi,17.32,0.0019
Clementi,3.36,0.0005
Clementi,17.22,0.0019
Clementi,1.31,0.0004
Clementi,43.51,0.0254
Clementi,34.18,0.0101
Clementi,10.56,0.001
Clementi,24.09,0.0037
Clementi,24.93,0.004
Clementi,8.61,0.0008
Clementi,20.96,0.0027
Clementi,25.52,0.0043
Clementi,20.51,0.0026
Clementi,13.98,0.0014
Clementi,10.19,0.0009
Clementi,19.94,0.0025
Clementi,15.49,0.0016
Clementi,37.81,0.0145
Clementi,63.07,0.1554
Clementi,47.52,0.0374
Clementi,26.17,0.0046
Clementi,14.45,0.0014
Clementi,46.65,0.0344
Clementi,39.43,0.017
Clementi,60.17,0.121
Clementi,29.03,0.0061
Clementi,75.94,0.3998
Clementi,29.03,0.0061
Clementi,14.39,0.0014
Clementi,16.75,0.0018
Clementi,36.55,0.0128
Clementi,15.45,0.0016
Clementi,75.59,0.3916
Clementi,34.44,0.0104
Clementi,25.74,0.0044
Clementi,27.4,0.0052
Clementi,20.34,0.0026
Clementi,4.61,0.0005
Clementi,16.76,0.0018
Clementi,69.55,0.2601
Clementi,29.6,0.0064
Clementi,51.25,0.0534
Clementi,52.25,0.0587
Clementi,24.26,0.0038
Clementi,39.88,0.0178
Clementi,5.21,0.0006
Clementi,65.88,0.1959
Clementi,62.38,0.1465
Clementi,35.84,0.0119
Clementi,30.4,0.007
Clementi,24.51,0.0039
Clementi,55.28,0.0778
Clementi,43.12,0.0244
Clementi,18.62,0.0022
Clementi,8.98,0.0008
Clementi,7.38,0.0007
Clementi,54.89,0.0751
Clementi,24.1,0.0037
Clementi,35.42,0.0115
Clementi,26.52,0.0047
Clementi,7.48,0.0007
Clementi,5.35,0.0006
Clementi,17.59,0.0019
Clementi,18.84,0.0022
Clementi,18.83,0.0022
Clementi,19.27,0.0023
Clementi,90.63,0.7434
Clementi,50.73,0.0508
Clementi,29.92,0.0066
Clementi,23.64,0.0036
Clementi,24.29,0.0038
Clementi,42.04,0.022
Clementi,23.47,0.0035
Clementi,47.27,0.0365
Clementi,32.33,0.0084
Sengkang,91.17,0.7534
Sengkang,22.39,0.0031
Sengkang,53.19,0.0641
Sengkang,9.79,0.0009
Sengkang,14.76,0.0015
Sengkang,83.4,0.5842
Sengkang,45.92,0.032
Sengkang,35.88,0.012
Sengkang,106.4,0.9334
Sengkang,23.9,0.0036
Sengkang,53.1,0.0636
Sengkang,55.75,0.0813
Sengkang,71.85,0.3068
Sengkang,8.72,0.0008
Sengkang,23.78,0.0036
Sengkang,31.92,0.0081
Sengkang,71.08,0.2907
Sengkang,34.85,0.0108
Sengkang,55.83,0.0819
Sengkang,7.97,0.0007
Sengkang,19.67,0.0024
Sengkang,62.22,0.1446
Sengkang,21.8,0.003
Sengkang,25.3,0.0042
Sengkang,70.33,0.2756
Sengkang,11.92,0.0011
Sengkang,14.56,0.0014
Sengkang,7.13,0.0007
Sengkang,72.18,0.314
Sengkang,50.1,0.0479
Sengkang,49.24,0.0441
Sengkang,19.22,0.0023
Sengkang,6.59,0.0006
Sengkang,4.76,0.0005
Sengkang,62.53,0.1484
Sengkang,37.59,0.0142
Sengkang,42.76,0.0236
Sengkang,30.85,0.0073
Sengkang,13.06,0.0012
Sengkang,19.95,0.0025
Sengkang,10.33,0.0009
Sengkang,9.14,0.0008
Sengkang,47.33,0.0367
Sengkang,5.25,0.0006
Sengkang,10.39,0.0009
Sengkang,20.9,0.0027
Sengkang,27.1,0.005
Sengkang,7.04,0.0007
Sengkang,34.54,0.0105
Sengkang,29.59,0.0064
Sengkang,61.81,0.1396
Sengkang,27.44,0.0052
Sengkang,37.07,0.0135
Sengkang,13.72,0.0013
Sengkang,14.23,0.0014
Sengkang,7.82,0.0007
Sengkang,13.84,0.0013
Sengkang,19.71,0.0024
Sengkang,57.78,0.0978
Sengkang,12.06,0.0011
Sengkang,93.8,0.7989
Sengkang,39.39,0.0169
Sengkang,33.9,0.0099
Sengkang,25.86,0.0044
Sengkang,22.26,0.0031
Sengkang,15.68,0.0016
Sengkang,6.75,0.0007
Sengkang,12.44,0.0012
Sengkang,72.07,0.3115
Sengkang,37.72,0.0144
Sengkang,71.65,0.3026
Sengkang,15.34,0.0016
Sengkang,10.05,0.0009
Sengkang,25.67,0.0043
Sengkang,12.86,0.0012
Sengkang,29.81,0.0066
Sengkang,5.35,0.0006
Sengkang,2.86,0.0004
Sengkang,32.97,0.009
Sengkang,73.39,0.3405
Sengkang,34.02,0.01
Sengkang,37.45,0.014
Sengkang,26.5,0.0047
Sengkang,28.43,0.0057
Sengkang,6.4,0.0006
Sengkang,13.29,0.0013
Sengkang,57.39,0.0944
Sengkang,19.36,0.0023
Sengkang,56.62,0.088
Sengkang,27.85,0.0054
Woodlands,28.91,0.006
Woodlands,19.48,0.0023
Woodlands,41.37,0.0206
Woodlands,48.48,0.041
Woodlands,12.66,0.0012
Woodlands,7.07,0.0007
Woodlands,3.64,0.0005
Woodlands,36.18,0.0124
Woodlands,33.31,0.0093
Woodlands,111.02,0.957
Woodlands,26.62,0.0048
Woodlands,23.13,0.0034
Woodlands,30.54,0.0071
Woodlands,31.76,0.008
Woodlands,21.76,0.0029
Woodlands,13.04,0.0012
Woodlands,25.55,0.0043
Woodlands,24.82,0.004
Woodlands,24.52,0.0039
Woodlands,44.42,0.0277
Woodlands,25.2,0.0042
Woodlands,7.23,0.0007
Woodlands,14.96,0.0015
Woodlands,21.55,0.0029
Woodlands,26.11,0.0045
Woodlands,36.72,0.013
Woodlands,26.27,0.0046
Woodlands,2.94,0.0004
Woodlands,8.13,0.0008
Woodlands,38.51,0.0155
Woodlands,21.09,0.0028
Woodlands,27.99,0.0055
Woodlands,19.02,0.0022
Woodlands,14.9,0.0015
Woodlands,19.59,0.0024
Woodlands,28.24,0.0056
Woodlands,25.06,0.0041
Woodlands,48.26,0.0402
Woodlands,5.86,0.0006
Woodlands,6.77,0.0007
Woodlands,20.9,0.0027
Woodlands,37.02,0.0134
Woodlands,42.77,0.0236
Woodlands,15.42,0.0016
Woodlands,0.91,0.0004
Woodlands,15.84,0.0016
Woodlands,33.38,0.0094
Woodlands,24.7,0.004
Woodlands,37.98,0.0147
Woodlands,56.07,0.0837
Woodlands,22.05,0.003
Woodlands,17.36,0.0019
Woodlands,11.48,0.0011
Woodlands,6.73,0.0007
Woodlands,4.96,0.0006
Woodlands,14.15,0.0014
Woodlands,51.03,0.0523
Woodlands,40.56,0.019
Woodlands,16.69,0.0018
Woodlands,94.37,0.8079
Woodlands,15.01,0.0015
Woodlands,59.63,0.1154
Woodlands,69.07,0.251
Woodlands,35.01,0.011
Woodlands,14.04,0.0014
Woodlands,18.57,0.0021
Woodlands,28.75,0.0059
Woodlands,6.93,0.0007
Woodlands,10.51,0.001
Woodlands,9.71,0.0009
Woodlands,36.9,0.0133
Woodlands,55.71,0.081
Woodlands,41.67,0.0212
Woodlands,49.67,0.046
Woodlands,13.02,0.0012
Woodlands,19.26,0.0023
Woodlands,20.45,0.0026
Woodlands,34.91,0.0109
Woodlands,14.49,0.0014
Woodlands,47.62,0.0377
Woodlands,67.82,0.2282
Woodlands,36.18,0.0123
Woodlands,18.58,0.0021
Woodlands,12.02,0.0011
Woodlands,9.73,0.0009
Woodlands,2.98,0.0005
Woodlands,20.96,0.0027
Woodlands,20.01,0.0025
Woodlands,45.64,0.0312
Woodlands,15.32,0.0016
Hougang,21.9,0.003
Hougang,30.88,0.0073
Hougang,35.76,0.0118
Hougang,42.1,0.0221
Hougang,28.67,0.0059
Hougang,7.36,0.0007
Hougang,33.57,0.0095
Hougang,14.39,0.0014
Hougang,57.46,0.095
Hougang,25.41,0.0042
Hougang,29.96,0.0067
Hougang,116.8,0.9754
Hougang,42.61,0.0232
Hougang,33.13,0.0091
Hougang,22.41,0.0031
Hougang,8,0.0007
Hougang,21.17,0.0028
Hougang,11.88,0.0011
Hougang,73.28,0.3381
Hougang,33.45,0.0094
Hougang,56.07,0.0837
Hougang,14.95,0.0015
Hougang,12.67,0.0012
Hougang,39.77,0.0176
Hougang,11.45,0.0011
Hougang,17.45,0.0019
Hougang,75.57,0.391
Hougang,18.03,0.002
Hougang,6.36,0.0006
Hougang,4.06,0.0005
Hougang,5.57,0.0006
Hougang,58.29,0.1024
Hougang,15.76,0.0016
Hougang,114.47,0.9691
Hougang,68.33,0.2374
Hougang,87.44,0.678
Hougang,50.54,0.0499
Hougang,38.32,0.0152
Hougang,12.27,0.0011
Hougang,24.93,0.004
Hougang,41.06,0.0199
Hougang,48.44,0.0408
Hougang,8.77,0.0008
Hougang,21.43,0.0029
Hougang,23.43,0.0035
Hougang,22.72,0.0032
Hougang,9.95,0.0009
Hougang,80.84,0.5209
Hougang,20.87,0.0027
Hougang,10.64,0.001
Hougang,82.13,0.5531
Hougang,68.37,0.2382
Hougang,27.83,0.0054
Hougang,17.02,0.0018
Hougang,5.09,0.0006
Hougang,36.32,0.0125
Hougang,16.04,0.0017
Hougang,24.47,0.0039
Hougang,77.42,0.4358
Hougang,15.06,0.0015
Hougang,35.22,0.0112
Hougang,42.96,0.024
Hougang,57.08,0.0918
Hougang,23.11,0.0034
Hougang,21.26,0.0028
Hougang,20.87,0.0027
Hougang,32.81,0.0088
Hougang,66.48,0.2055
Hougang,20.11,0.0025
Hougang,1.31,0.0004
Hougang,46.32,0.0333
Hougang,26.32,0.0046
Hougang,36.38,0.0126
Hougang,5.31,0.0006
Hougang,16.09,0.0017
Hougang,43.75,0.026
Hougang,7.73,0.0007
Hougang,35.16,0.0112
Hougang,24.32,0.0038
Hougang,13.3,0.0013
Hougang,12.36,0.0012
Hougang,10.04,0.0009
Hougang,26.21,0.0046
Hougang,28.57,0.0058
Hougang,18.54,0.0021
Hougang,9.46,0.0009
Hougang,34.44,0.0104
Hougang,46.91,0.0353
Hougang,39.01,0.0163
Hougang,89.76,0.7263
Toa Payoh,21.62,0.0029
Toa Payoh,62.19,0.1442
Toa Payoh,14.46,0.0014
Toa Payoh,12.5,0.0012
Toa Payoh,27.45,0.0052
Toa Payoh,71.51,0.2995
Toa Payoh,19.76,0.0024
Toa Payoh,5.3,0.0006
Toa Payoh,46.3,0.0332
Toa Payoh,23.52,0.0035
Toa Payoh,31.24,0.0076
Toa Payoh,13.08,0.0012
Toa Payoh,27.26,0.0051
Toa Payoh,6.21,0.0006
Toa Payoh,81.65,0.5412
Toa Payoh,52.29,0.0589
Toa Payoh,26.34,0.0046
Toa Payoh,45.42,0.0305
Toa Payoh,14.49,0.0014
Toa Payoh,50.72,0.0508
Toa Payoh,19.06,0.0023
Toa Payoh,17.97,0.002
